#Magnesium Silicate (MgSiO3)	Mg1O3Si1(l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1000	146.440	220.668	142.668	78.000	-1496.729	-1228.717	64.182
1100	146.440	234.625	150.404	92.644	-1493.435	-1202.076	57.082
1200	146.440	247.367	157.961	107.288	-1490.244	-1175.731	51.178
1300	146.440	259.088	165.295	121.932	-1487.146	-1149.648	46.193
1400	146.440	269.941	172.387	136.576	-1611.545	-1120.632	41.811
1500	146.440	280.044	179.231	151.220	-1607.265	-1085.717	37.808
1600	146.440	289.495	185.830	165.864	-1603.067	-1051.085	34.314
1700	146.440	298.373	192.192	180.508	-1649.124	-1016.266	31.226
1800	146.440	306.743	198.326	195.152	-1644.852	-979.163	28.415
