Titanium Oxide (TiO2)	O2Ti1(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
1500	100.416	186.351	127.014	89.006	-885.798	-656.268	22.853
1600	100.416	192.832	130.927	99.047	-882.679	-641.068	20.929
1700	100.416	198.919	134.749	109.089	-879.701	-626.059	19.236
1800	100.416	204.659	138.475	119.131	-876.879	-611.221	17.737
1900	100.416	210.088	142.103	129.172	-874.225	-596.536	16.400
2000	100.416	215.239	145.632	139.214	-886.438	-581.532	15.188
2100	100.416	220.138	149.064	149.255	-884.906	-566.324	14.087
